,timestamp,eth
480,5/3/19 0:00,0.485
481,5/4/19 0:00,0.65
482,5/5/19 0:00,
483,5/6/19 0:00,0.441744186
484,5/7/19 0:00,0.58375
485,5/8/19 0:00,0.488
486,5/9/19 0:00,0.555714286
487,5/10/19 0:00,0.5
488,5/11/19 0:00,0.4
489,5/13/19 0:00,1.6375
490,5/14/19 0:00,0.45
491,5/15/19 0:00,0.5
492,5/16/19 0:00,0.595
493,5/17/19 0:00,0.72
494,5/18/19 0:00,1.05625
495,5/19/19 0:00,2.258333333
496,5/21/19 0:00,0.75
497,5/22/19 0:00,0.68125
498,5/23/19 0:00,0.831666667
499,5/24/19 0:00,0.695
500,5/26/19 0:00,0.47
501,5/27/19 0:00,0.45
502,5/30/19 0:00,0.478
503,5/31/19 0:00,0.79
504,6/1/19 0:00,
505,6/3/19 0:00,0.55
506,6/4/19 0:00,0.4475
507,6/5/19 0:00,0.7
508,6/6/19 0:00,0.45
509,6/7/19 0:00,
510,6/8/19 0:00,
511,6/9/19 0:00,
512,6/10/19 0:00,0.5
513,6/11/19 0:00,0.538
514,6/12/19 0:00,0.7
515,6/13/19 0:00,
516,6/14/19 0:00,1.28125
517,6/16/19 0:00,0.803333333
518,6/17/19 0:00,0.75
519,6/18/19 0:00,0.65
520,6/19/19 0:00,0.57
521,6/20/19 0:00,0.457142857
522,6/21/19 0:00,0.418214286
523,6/22/19 0:00,1.0975
524,6/23/19 0:00,0.66
525,6/24/19 0:00,
526,6/27/19 0:00,0.35
527,6/28/19 0:00,1.24
528,7/1/19 0:00,0.39
529,7/3/19 0:00,
530,7/5/19 0:00,0.383333333
531,7/6/19 0:00,0.425
532,7/7/19 0:00,0.5
533,7/8/19 0:00,0.4
534,7/9/19 0:00,
535,7/10/19 0:00,0.6
536,7/11/19 0:00,0.47
537,7/12/19 0:00,0.49
538,7/13/19 0:00,0.425
539,7/16/19 0:00,0.3
540,7/17/19 0:00,0.3
541,7/18/19 0:00,0.3
542,7/19/19 0:00,0.3
543,7/20/19 0:00,0.3
544,7/21/19 0:00,0.3
545,7/22/19 0:00,0.25
546,7/24/19 0:00,
547,7/26/19 0:00,0.35
548,7/27/19 0:00,
549,7/28/19 0:00,0.316666667
550,7/29/19 0:00,0.278571429
551,7/31/19 0:00,0.725
552,8/1/19 0:00,0.3
553,8/2/19 0:00,0.52
554,8/3/19 0:00,0.55
555,8/6/19 0:00,0.75
556,8/7/19 0:00,0.5
557,8/9/19 0:00,0.3475
558,8/10/19 0:00,0.998
559,8/11/19 0:00,0.675
560,8/12/19 0:00,0.27
561,8/13/19 0:00,0.255
562,8/14/19 0:00,0.3
563,8/16/19 0:00,
564,8/17/19 0:00,
565,8/21/19 0:00,0.7
566,8/22/19 0:00,0.41
567,8/24/19 0:00,
568,8/27/19 0:00,0.416666667
569,8/31/19 0:00,0.5
570,9/1/19 0:00,0.25
571,9/2/19 0:00,0.2578125
572,9/3/19 0:00,0.25
573,9/4/19 0:00,0.5
574,9/5/19 0:00,0.425
575,9/8/19 0:00,0.25
576,9/9/19 0:00,
577,9/10/19 0:00,
578,9/11/19 0:00,
579,9/12/19 0:00,5.27
580,9/13/19 0:00,0.4175
581,9/14/19 0:00,0.64
582,9/15/19 0:00,0.268965517
583,9/16/19 0:00,0.65
584,9/17/19 0:00,0.51
585,9/18/19 0:00,
586,9/24/19 0:00,9.303333333
587,9/25/19 0:00,0.485
588,9/27/19 0:00,0.45
589,9/28/19 0:00,0.275
590,9/29/19 0:00,0.3
591,10/1/19 0:00,
592,10/2/19 0:00,
593,10/3/19 0:00,
594,10/4/19 0:00,0.35
595,10/8/19 0:00,0.3
596,10/9/19 0:00,
597,10/12/19 0:00,0.558
598,10/13/19 0:00,0.3725
599,10/14/19 0:00,0.25
600,10/15/19 0:00,0.64
601,10/17/19 0:00,
602,10/18/19 0:00,0.3
603,10/23/19 0:00,0.25
604,10/24/19 0:00,0.35
605,10/25/19 0:00,0.54
606,10/26/19 0:00,0.275
607,10/30/19 0:00,0.25
608,10/31/19 0:00,0.3
609,11/1/19 0:00,0.733333333
610,11/2/19 0:00,0.3
611,11/3/19 0:00,0.275
612,11/4/19 0:00,0.733333333
613,11/5/19 0:00,
614,11/7/19 0:00,0.3
615,11/8/19 0:00,0.4
616,11/9/19 0:00,0.375
617,11/10/19 0:00,0.35
618,11/11/19 0:00,
619,11/13/19 0:00,0.896
620,11/17/19 0:00,0.44
621,11/20/19 0:00,0.65
622,11/21/19 0:00,0.29
623,11/22/19 0:00,0.25
624,11/23/19 0:00,0.262439024
625,11/24/19 0:00,
626,11/25/19 0:00,0.363333333
627,11/27/19 0:00,0.45
628,11/29/19 0:00,0.5
629,12/2/19 0:00,0.55
630,12/4/19 0:00,0.38
631,12/5/19 0:00,0.415
632,12/8/19 0:00,0.381818182
633,12/9/19 0:00,0.488
634,12/10/19 0:00,0.424
635,12/11/19 0:00,0.55
636,12/15/19 0:00,
637,12/16/19 0:00,0.37
638,12/17/19 0:00,0.431666667
639,12/18/19 0:00,0.45
640,12/20/19 0:00,0.425
641,12/21/19 0:00,0.54
642,12/22/19 0:00,0.46
643,12/23/19 0:00,0.475
644,12/24/19 0:00,0.955
645,12/25/19 0:00,
646,12/26/19 0:00,0.55
